configuration,status,valid,sentiment,follow_up_needed,serious_concern_reported,testimonial_potential,exact_match,denominator
codex-gpt-5.6-sol-high,completed,60,59,59,59,60,58,60
codex-gpt-5.6-sol-xhigh,completed,60,58,60,59,60,57,60
codex-gpt-5.6-terra-low,completed,60,59,59,59,60,58,60
codex-gpt-5.6-terra-medium,completed,60,59,59,58,60,57,60
codex-gpt-5.6-terra-high,completed,60,58,60,58,60,57,60
codex-gpt-5.6-terra-xhigh,completed,60,59,59,58,60,57,60
codex-gpt-6-sol-low-batch10,completed_after_transport_recovery,60,59,60,58,60,58,60
codex-gpt-6-sol-medium-batch10,complete,60,59,60,59,60,58,60
codex-gpt-6-sol-high-batch10,completed,60,58,60,59,60,57,60
codex-gpt-6-sol-xhigh-batch10,completed,60,58,60,59,60,57,60
codex-gpt-6-luna-low-batch10,completed_after_transport_recovery,60,55,59,58,59,54,60
codex-gpt-6-luna-medium-batch10,complete,60,55,59,58,57,50,60
codex-gpt-6-luna-high-batch10,completed,60,58,59,58,60,56,60
codex-gpt-6-luna-xhigh-batch10,completed,60,59,60,58,60,57,60
antigravity-gemini-3.1-pro-low-native-observed-batch10,completed_after_transport_recovery,60,58,60,58,57,53,60
antigravity-gemini-3.1-pro-high-native-observed-batch10,completed_after_transport_recovery,60,59,60,58,59,57,60
antigravity-gemini-3.6-flash-low-native-observed-batch10,completed_after_transport_recovery,60,59,60,59,59,57,60
openrouter-paid-qwen3.8-27b-medium,complete_with_service_failure,59,58,59,58,58,56,60
openrouter-paid-qwen3.8-27b-xhigh,complete_with_output_failure,59,59,59,56,59,56,60
openrouter-paid-qwen3.8-27b-off,complete,60,58,60,59,57,54,60
openrouter-paid-qwen36-35b-a3b-on,complete,60,58,60,58,58,54,60
openrouter-paid-qwen36-35b-a3b-off,complete,60,56,59,57,56,51,60
openrouter-paid-gemma4-26b-a4b-on,complete_with_output_failure,59,59,59,59,59,59,60
openrouter-paid-gemma4-26b-a4b-off,complete,60,57,58,58,56,53,60
openrouter-paid-gemma4-31b-on,complete,60,57,60,58,60,56,60
openrouter-paid-gemma4-31b-off,complete,60,58,60,59,59,56,60
openrouter-paid-deepseek-v41-flash-off,complete,60,57,59,59,56,54,60
openrouter-paid-deepseek-v41-flash-low,complete_with_output_failure,57,57,57,57,57,57,60
openrouter-paid-deepseek-v41-flash-high,complete_with_output_failure,56,54,56,56,56,54,60
openrouter-paid-mistral-small32-24b-venice-not-applicable,complete,60,54,57,55,57,48,60
